country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,78528000,32.03,35,2,32.03,70,2,31010,4,3,300,1,3,35,113,15,3900
124,2011,124201101,78538000,47.37,24,2,47.37,50,2,24020,2,1,100,2,3,35,113,15,13400
124,2011,124201101,78545000,32.02,48,2,32.02,59,2,24020,2,1,100,2,3,35,112,14,26900
124,2011,124201101,78593000,32.62,59,11,32.62,27,2,33080,4,1,100,2,3,35,114,18,14400
124,2011,124201101,78705000,32.02,48,2,32.02,52,2,24020,2,1,100,2,3,35,112,14,28500
124,2011,124201101,78724000,32.1,59,2,32.1,47,2,39999,4,1,100,2,3,35,112,14,35100
124,2011,124201101,78786000,31.96,24,2,31.96,39,2,24020,2,1,100,2,3,35,112,14,37000
124,2011,124201101,78813000,38.44,35,1,38.44,19,2,24020,2,1,100,2,3,35,113,15,9500
124,2011,124201101,78893000,32.02,48,2,32.02,40,2,24020,2,1,100,2,3,35,112,14,25100
124,2011,124201101,78919000,32.42,35,5,32.42,29,2,33080,4,1,100,2,3,35,114,18,5600
124,2011,124201101,78948000,32.03,35,2,32.03,48,2,33080,4,1,100,2,3,35,114,18,23600
124,2011,124201101,78959000,32.1,59,2,32.1,57,2,24020,2,1,100,2,3,35,114,18,8100
124,2011,124201101,78972000,32.03,35,1,32.03,58,2,24020,2,3,300,1,3,35,114,18,6000
124,2011,124201101,79143000,32.02,48,1,32.02,32,2,24020,2,1,100,2,3,35,112,14,0
124,2011,124201101,79146000,31.96,24,2,31.96,48,2,13000,3,1,100,2,3,35,113,15,14000
124,2011,124201101,79155000,32.1,59,1,32.1,64,2,24020,2,1,100,2,3,35,112,14,21100
124,2011,124201101,79203000,31.21,35,1,31.21,30,2,24020,2,1,100,2,3,35,113,15,0
124,2011,124201101,79207000,32.42,35,3,32.42,21,2,24020,2,2,200,2,3,35,113,15,9900
124,2011,124201101,79270000,87.3,12,2,87.3,62,2,24020,2,1,100,2,3,35,113,15,32500
124,2011,124201101,79325000,46.44,13,2,46.44,58,2,24020,2,1,100,2,3,35,114,18,11900
124,2011,124201101,79379000,32.62,59,4,32.62,27,2,33080,4,1,100,2,3,35,114,18,11700
124,2011,124201101,79416000,32.02,48,2,32.02,54,2,33080,4,3,300,1,3,35,114,18,15000
